264,Hải Đăk Nông,29,Anh Tài,9,"Robusta,Cà Phê Nhân Xô, Giá đại lý (dRBA)",9,kg
264,Hải Đăk Nông,29,Anh Tài,10,"Robusta,Cà Phê Nhân Xô, Giá Công Ty (dRBC)",10,kg
264,Hải Đăk Nông,29,Anh Tài,13,"Robusta,Quả Tươi, Giá đại lý (dRCA)",13,kg
264,Hải Đăk Nông,29,Anh Tài,14,"Robusta,Quả Tươi, Giá công ty (dRCC)",14,kg
264,Hải Đăk Nông,30,Bình An,9,"Robusta,Cà Phê Nhân Xô, Giá đại lý (dRBA)",9,kg
264,Hải Đăk Nông,30,Bình An,10,"Robusta,Cà Phê Nhân Xô, Giá Công Ty (dRBC)",10,kg
264,Hải Đăk Nông,30,Bình An,13,"Robusta,Quả Tươi, Giá đại lý (dRCA)",13,kg
264,Hải Đăk Nông,30,Bình An,14,"Robusta,Quả Tươi, Giá công ty (dRCC)",14,kg
264,Hải Đăk Nông,31,Chính Liên,9,"Robusta,Cà Phê Nhân Xô, Giá đại lý (dRBA)",9,kg
264,Hải Đăk Nông,31,Chính Liên,10,"Robusta,Cà Phê Nhân Xô, Giá Công Ty (dRBC)",10,kg
264,Hải Đăk Nông,31,Chính Liên,13,"Robusta,Quả Tươi, Giá đại lý (dRCA)",13,kg
264,Hải Đăk Nông,31,Chính Liên,14,"Robusta,Quả Tươi, Giá công ty (dRCC)",14,kg
