265,Phúc Đăk Nông,32,Kiên Hoàng,9,"Robusta,Cà Phê Nhân Xô, Giá đại lý (dRBA)",9,kg
265,Phúc Đăk Nông,32,Kiên Hoàng,10,"Robusta,Cà Phê Nhân Xô, Giá Công Ty (dRBC)",10,kg
265,Phúc Đăk Nông,32,Kiên Hoàng,13,"Robusta,Quả Tươi, Giá đại lý (dRCA)",13,kg
265,Phúc Đăk Nông,32,Kiên Hoàng,14,"Robusta,Quả Tươi, Giá công ty (dRCC)",14,kg
265,Phúc Đăk Nông,33,Linh Tú,9,"Robusta,Cà Phê Nhân Xô, Giá đại lý (dRBA)",9,kg
265,Phúc Đăk Nông,33,Linh Tú,10,"Robusta,Cà Phê Nhân Xô, Giá Công Ty (dRBC)",10,kg
265,Phúc Đăk Nông,33,Linh Tú,13,"Robusta,Quả Tươi, Giá đại lý (dRCA)",13,kg
265,Phúc Đăk Nông,33,Linh Tú,14,"Robusta,Quả Tươi, Giá công ty (dRCC)",14,kg
265,Phúc Đăk Nông,34,Minh Tâm,9,"Robusta,Cà Phê Nhân Xô, Giá đại lý (dRBA)",9,kg
265,Phúc Đăk Nông,34,Minh Tâm,10,"Robusta,Cà Phê Nhân Xô, Giá Công Ty (dRBC)",10,kg
265,Phúc Đăk Nông,34,Minh Tâm,13,"Robusta,Quả Tươi, Giá đại lý (dRCA)",13,kg
265,Phúc Đăk Nông,34,Minh Tâm,14,"Robusta,Quả Tươi, Giá công ty (dRCC)",14,kg
