source,translationable_id,text
FanpLESStic-sea project – Initiatives to remove microplastics before they enter the sea,4,Proyek-laut FanpLESStic - Inisiatif untuk menghapus microplastics sebelum mereka memasuki laut
LIMPIEZA COSTERA EN GALÁPAGOS,57,LIMPIEZA Costera EN Galapagos
Nova Scotia Beach Garbage Awareness,110,Nova Scotia Pantai Sampah Kesadaran
Second HELCOM Holistic Assessment of Ecosystem Health in the Baltic Sea – Dedicated section on marine litter,163,Kedua HELCOM Holistik Penilaian Kesehatan Ekosistem di Laut Baltik - Dedicated bagian tentang sampah laut
Best practice on the disposal of old pleasure boats,216,Praktik terbaik pada pembuangan kesenangan kapal tua
Remix Plastic project - education program,269,proyek remix Plastik - Program pendidikan
Extended Producer Responsibility Project,322,Proyek Tanggung Jawab Extended Producer
Improved submission of marine litter-related and strengthened submission of socioeconomic-related data required for the implementation of selected measures to reduce single-use plastic bags and PET bottles,375,Peningkatan pengajuan kelautan sampah-terkait dan memperkuat penyerahan data sosial ekonomi terkait diperlukan untuk pelaksanaan langkah-langkah yang dipilih untuk mengurangi tunggal menggunakan tas plastik dan botol PET
Palmy’s Plastic Pollution Challenge Narrative Submission (New Zealand) ,428,Palmy ini Plastik Polusi Tantangan Narasi Submission (Selandia Baru)
Pakistan (Member State Narrative Submission),481,Pakistan (Anggota Negara Narasi Submission)
Suape Zero landfill,534,TPA Suape Nol
OceanCare (Narrative Submission Major Group and Stakeholders),587,OceanCare (Narasi Submission Major Group dan Pemangku Kepentingan)
Marine debris beach survey,640,Survei pantai sampah laut
The flux of plastic debris from major rivers in China,693,Fluks sampah plastik dari sungai utama di Cina
 Beach cleaning,746, membersihkan pantai
Sudan (Member State Narrative Submission),799,Sudan (Anggota Negara Narasi Submission)
Birdwatching Reducing the Global Plastic Pollution,852,Mengamati burung Mengurangi Polusi Global Plastik
New Zealand Narrative Submission 1: Northland Regional Council (NRC),905,Selandia Baru Narasi Submission 1: Dewan Daerah Northland (NRC)
ReSource: Plastic,958,Sumber: Plastik
Clean Oceans through Clean Communities,1011,Oceans bersih melalui Komunitas bersih
Formulation of policy frameworks,1064,Perumusan kerangka kebijakan
Promotion of innovative solutions,1117,Promosi solusi inovatif
Sound Chemicals Management Mainstreaming and UPOPs reduction in Kenya,1170,Suara Kimia Manajemen Pengarusutamaan dan pengurangan UPOPs di Kenya
HELCOM Ministerial Declaration 2018,1223,HELCOM Deklarasi Menteri 2018
EnTenda o Lixo (Understand the debris),1276,EnTenda o Lixo (Memahami puing-puing)
"Legislative guidance to countries on marine litter, microplastics and single-use plastics",1329,"bimbingan legislatif untuk negara-negara di sampah laut, microplastics dan sekali pakai plastik"
The National Plastics Roadmap ,1382,Nasional Plastik Roadmap
Somos do Mar Research,1435,Somos do Mar Penelitian
Developing the community-based plastic waste management in coastal areas of Ha Long Bay Quang Ninh province,1488,Mengembangkan pengelolaan sampah plastik berbasis masyarakat di wilayah pesisir provinsi Ha Long Bay Quang Ninh
"Technical assistance activities of the Secretariat of the Basel, Rotterdam and Stockholm Conventions addressing plastics",1541,"kegiatan bantuan teknis dari Sekretariat plastik Basel, Rotterdam dan Stockholm Conventions menangani"
Brazil – Blue Keepers – By UN Global Compact Network Brazil (Narrative Submission Major Group and Stakeholders),1594,Brasil - Biru Keepers - Dengan UN Global Compact Network Brasil (Narasi Submission Major Group dan Pemangku Kepentingan)
Ethiopia (Member State Narrative Submission),1647,Ethiopia (Anggota Negara Narasi Submission)
"Cleaning of coastal areas, seabed and mangrove area",1700,"Membersihkan wilayah pesisir, laut dan kawasan mangrove"
Atendimento ao público em sala temática de educação ambiental da Unidade de Estabilização de Animais Marinhos da Univali,1753,Atendimento ao Publico em sala temática de Educação Ambiental da Unidade de Estabilização de Animais Marinhos da Univali
Plastic Waste Management Programme: A Partnership,1806,Program plastik Pengelolaan Sampah: Sebuah Kemitraan
Establishment of Extended Producer Responsability for packaging waste,1859,Pembentukan Extended Producer responsability untuk limbah kemasan
Adopt a coastline,1912,Mengadopsi garis pantai
WELCOME project,1965,proyek WELCOME
Somalia African Solutions Somalia (Narrative Submission Major Group and Stakeholders),2018,Somalia Afrika Solusi Somalia (Narasi Submission Major Group dan Pemangku Kepentingan)
Philippines (Member State Narrative Submission),2071,Filipina (Anggota Negara Narasi Submission)
Birdlife International (Narrative Submission Major Group and Stakeholders),2124,Birdlife International (Narasi Submission Major Group dan Pemangku Kepentingan)
China's recent action on reducing plastic products,2177,Tindakan baru-baru ini China pada pengurangan produk plastik
'Sea to Source: Ganges' Expedition ,2230,'Sea untuk Sumber: Gangga' Ekspedisi
Wave of waste show: From visible to invisible dangers,2283,Gelombang limbah acara: Dari terlihat bahaya tak terlihat
ACT Program : a local value chain for plastic waste,2336,Program ACT: rantai nilai lokal untuk sampah plastik
PEMSEA (Partnerships for Environmental Management in the Seas of East Asia) Narrative Submission IGO's,2389,PEMSEA (Kemitraan untuk Pengelolaan Lingkungan di Laut Asia Timur) Narasi Submission IGO ini
RAISING AWARENESS AMONGST STUDENTS,2442,Meningkatkan kesadaran di antara MAHASISWA
Assessment of Plastic Footprint Methodologies,2495,Penilaian Plastik Jejak Metodologi
"Litter Intelligence: Data, Insights and Action",2548,"Litter Intelijen: Data, Wawasan dan Aksi"
Analysis of sufficiency of measures on marine litter in the update of the HELCOM Baltic Sea Action Plan,2601,Analisis kecukupan langkah-langkah pada sampah laut di update Laut Rencana Aksi HELCOM Baltik
TEKONURMI (Artificial turf),2654,TEKONURMI (rumput buatan)
Investhill Group / African Foundation (Narrative Submission Major Group and Stakeholders),2707,Yayasan Investhill grup / Afrika (Narasi Submission Major Group dan Pemangku Kepentingan)
THE MANTA,2760,THE MANTA
Collect Oceanic Plastics from our coastline,2813,Kumpulkan Oceanic Plastik dari garis pantai kami
Plastic Pacts,2866,Pakta plastik
"Book: ""Lixo nos Mares: do entendimento à solução"" (pt)/  ""Marine debris: from understanding to the solution"" (en)",2919,"Buku: ""Lixo nos Mares: lakukan entendimento à solução"" (pt) / ""Marine puing-puing: dari pemahaman terhadap solusi"" (en)"
"Project for the recovery of protected areas in the city of Guayaquil, Estero Salado and Isla Santay",2972,"Proyek untuk pemulihan kawasan lindung di kota Guayaquil, Estero Salado dan Isla Santay"
"Assessment on sources, pathways and hazards of litter including plastic litter and microplastics pollution",3025,"Penilaian pada sumber, jalur dan bahaya dari sampah termasuk sampah dan microplastics plastik polusi"
"Palestras de educação ambiental, voltadas para a conservação dos ecossistemas marinhos",3078,"Palestras de Educação Ambiental, voltadas para sebuah conservação dos ecossistemas marinhos"
Coastal Resource Conservation,3131,Konservasi Sumberdaya Pesisir
The project for “Support for transitioning from conventional plastics to more environmentally sustainable alternatives” in South Africa,3184,Proyek untuk “Dukungan untuk transisi dari plastik konvensional ke lebih ramah lingkungan alternatif” di Afrika Selatan
Meriroskahaaste,3237,Meriroskahaaste
Venezuelan Plastic Corporation (Coveplast),3290,Venezuela Plastik Corporation (Coveplast)
awareness raising,3343,peningkatan kesadaran
California Container Deposits,3396,Deposit California Kontainer
A global policy analysis; and a global scenario analysis of pathways towards stopping ocean plastic pollution,3449,Sebuah analisis kebijakan global; dan analisis skenario global jalur menuju menghentikan laut polusi plastik
Morocco (Member State Narrative Submission),3502,Maroko (Anggota Negara Narasi Submission)
Research,3555,Penelitian
Street litter/storm water info campaign,3608,Jalan sampah / badai Info air kampanye
Sharing scientific information and knowledge,3661,Berbagi informasi ilmiah dan pengetahuan
Pellets Zero Program - OCS®,3714,Program Nol pelet - OCS®
Integrated approach towards sustainable plastics use and (marine) litter prevention in Bangladesh,3767,pendekatan terpadu terhadap penggunaan plastik berkelanjutan dan (marine) pencegahan sampah di Bangladesh
Microplastic at an Atlantic Amazon sandy beach,3820,Microplastic di pantai berpasir Atlantik Amazon
"Workshop ""Oceamo""",3873,"Workshop ""Oceamo"""
HELCOM compilation of information on national activities on ALDFG,3926,HELCOM kompilasi informasi tentang kegiatan nasional ALDFG
United States of America (Member State Narrative Submission),3979,Amerika Serikat (Anggota Negara Narasi Submission)
Fishing for litter,4032,Memancing untuk sampah
New Zealand Narrative Submission 2: Northland Regional Council (NRC),4085,Selandia Baru Narasi Submission 2: Dewan Daerah Northland (NRC)
"Workshop ""Vida Secreta dos Objetos""",4138,"Workshop ""Vida Secreta dos Objetos"""
ICENEDEV (Narrative Submission Major Group and Stakeholders),4191,ICENEDEV (Narasi Submission Major Group dan Pemangku Kepentingan)
Caracol beach cleanup,4244,pembersihan pantai Caracol
A study report and proposal to county government on how to address the challenge of plastic bottles in the marine environment,4297,Sebuah laporan studi dan proposal untuk pemerintah daerah tentang cara mengatasi tantangan botol plastik di lingkungan laut
Coastal Cleanup 2019,4350,Coastal Cleanup 2019
Consciência da Praia,4403,Consciência da Praia
Measures taken,4456,langkah-langkah yang diambil
"Food and Agriculture Organization Headquarters, Rome Italy (Plastic Soil Pollution) Narrative Submission UN Organizations",4509,"Agriculture Organization Markas makanan dan, Roma Italia (Plastik Pencemaran Tanah) Narasi Submission Organisasi PBB"
Abundancia y Distribución DEL PLASTICO EN UN SECTOR DE LA ZONA MARINO COSTERA DE MANABI-ECUADOR ,4562,Abundancia y distribucion DEL PLASTICO EN PBB SEKTOR DE LA ZONA MARINO Costera DE Manabi-EKUADOR
Preparation of the legal framework,4615,Persiapan kerangka hukum
Collection of discharged wastes,4668,Koleksi limbah habis
Clean Cities Blue Ocean (CCBO),4721,Kota Bersih Blue Ocean (CCBO)
Regional Action Action for Sustainable Management of Marine Litter in the Red Sea and Gulf of Aden  ,4774,Aksi Aksi Daerah Pengelolaan Berkelanjutan Kelautan Litter di Laut Merah dan Teluk Aden
Marine litter risk assessment method development,4827,risiko sampah laut pengembangan metode penilaian
Local and regional capacity building to facilitate national action to control plastic pollution,4880,pembangunan kapasitas lokal dan regional untuk memfasilitasi aksi nasional untuk mengendalikan polusi plastik
Funded Project: Unpackaging Alameda,4933,Didanai Proyek: Unpackaging Alameda
Madagascar (Member State Narrative Submission),4986,Madagaskar (Anggota Negara Narasi Submission)
Croatia (Member State Narrative Submission),5039,Kroasia (Anggota Negara Narasi Submission)
Guyana (Member State Narrative Submission),5092,Guyana (Anggota Negara Narasi Submission)
OUR COAST IS DYING,5145,KAMI COAST ADALAH SAKIT
Clean Ile aux Oiseaux,5198,Bersih Ile aux Oiseaux
Strengthening of domestic plastic waste management system,5251,Penguatan sistem manajemen sampah plastik dalam negeri
Plastic Free Beaches Action,5304,Plastik Gratis Pantai Aksi
Marine debris prevention activities – education and outreach,5357,kegiatan pencegahan sampah laut - pendidikan dan penjangkauan
South Asian Seas (SAS) Region (Narrative Submission IGO's),5410,Asia Selatan Seas (SAS) Daerah (Narasi Submission IGO ini)
Ações de educação ambiental em praias do litoral Norte de Santa Catarina,5463,Ações de Educação Praias em Ambiental melakukan litoral Norte de Santa Catarina
LEARN Program,5516,BELAJAR Program
SB 270: Statewide Bag Ban,5569,SB 270: Seluruh negara bagian Bag Ban
New Plastics Economy Global Commitment led by the Ellen MacArthur Foundation in collaboration with UNEP,5622,New Plastik Ekonomi global Komitmen dipimpin oleh Ellen MacArthur Foundation bekerja sama dengan UNEP
Bill 152 Plastic Bags Reduction Act,5675,Bill 152 Tas Plastik Pengurangan Act
Argentina (Member State Narrative Submission),5728,Argentina (Anggota Negara Narasi Submission)
1.	Closing the Loop Regional Policy Guide and City Case Studies on reducing the environmental impact of cities in terms of marine litter,5781,1. Menutup Panduan Kebijakan dan Kota Studi Kasus Simpul Regional mengurangi dampak lingkungan dari kota dalam hal sampah laut
Belgium (Member State Narrative Submission),5834,Belgia (Anggota Negara Narasi Submission)
MOVIMENTO PLÁSTICO TRANSFORMA (PLASTIC MOVEMENT TRANSFORMS),5887,Movimento Plastico Transforma (PLASTIK GERAKAN TRANSFORMS)
Global Partnership on Marine Litter,5940,Kemitraan Global on Marine Litter
Thailand (Member State Narrative Submission),5993,Thailand (Anggota Negara Narasi Submission)
Food and Agriculture Organization (Bioeconomy) Narrative Submission UN Organizations,6046,Organisasi Pangan dan Pertanian (Bioeconomy) Narasi Submission Organisasi PBB
STUDENTS AND AGENDA 2030,6099,MAHASISWA DAN AGENDA 2030
"Effective, Quantifiable Solutions To Address Plastic Leakage From Small Island Developing States ",6152,"Efektif, Solusi dikuantifikasi Untuk Alamat Plastik Kebocoran Dari Pulau Kecil Mengembangkan Amerika"
