textPayload,insertId,resource.type,resource.labels.pod_id,resource.labels.zone,resource.labels.project_id,resource.labels.cluster_name,resource.labels.container_name,resource.labels.namespace_id,resource.labels.instance_id,timestamp,severity,"labels.""compute.googleapis.com/resource_name""","labels.""container.googleapis.com/pod_name""","labels.""container.googleapis.com/stream""","labels.""container.googleapis.com/namespace_name""",logName,receiveTimestamp
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:36] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqdN3&sid=f8c9a066ce5f4c8ea0635b75e7a43bc2 HTTP/1.0"" 200 -
",i1mdglg2vrhmc8,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:36.945092981Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:42.615563430Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:36] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqdM-&sid=7c5f81a50fd04917ad3f200a968eebde HTTP/1.0"" 200 -
",i1mdglg2vrhmc7,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:36.873943791Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:42.615563430Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:36] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqdDU&sid=f8c9a066ce5f4c8ea0635b75e7a43bc2 HTTP/1.0"" 200 -
",ajlhxvfyzh24x,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:36.364635713Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:36] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqdDP&sid=7c5f81a50fd04917ad3f200a968eebde HTTP/1.0"" 200 -
",ajlhxvfyzh24w,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:36.363933164Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:35] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqd76&sid=7c5f81a50fd04917ad3f200a968eebde HTTP/1.0"" 200 -
",ajlhxvfyzh24v,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:35.869549471Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:35] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqd7B&sid=f8c9a066ce5f4c8ea0635b75e7a43bc2 HTTP/1.0"" 200 -
",ajlhxvfyzh24u,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:35.867807268Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:35] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqd0o&sid=7c5f81a50fd04917ad3f200a968eebde HTTP/1.0"" 200 -
",ajlhxvfyzh24t,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:35.463814133Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:35] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqd0i&sid=f8c9a066ce5f4c8ea0635b75e7a43bc2 HTTP/1.0"" 200 -
",ajlhxvfyzh24s,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:35.458372911Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:35] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqcwR&sid=f8c9a066ce5f4c8ea0635b75e7a43bc2 HTTP/1.0"" 200 -
",ajlhxvfyzh24r,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:35.058296530Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
"INFO:werkzeug:10.12.1.250 - - [24/Apr/2019 10:09:35] ""GET /socket.io/?EIO=3&transport=polling&t=MfEqcwM&sid=7c5f81a50fd04917ad3f200a968eebde HTTP/1.0"" 200 -
",ajlhxvfyzh24q,container,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,europe-west1-d,akvo-lumen,test,tech-consultancy-gc-flow-price-webhook,default,6496827229310957514,2019-04-24T10:09:35.055821320Z,ERROR,fluentd-gcp-v3.1.0-9zmvx,tech-consultancy-gc-flow-price-webhook-5f6db9fdfb-f2k6p,stderr,default,projects/akvo-lumen/logs/tech-consultancy-gc-flow-price-webhook,2019-04-24T10:09:37.615348236Z
