MAPPING OF COCOA FARMS ,,
DEVELOPMENT OF TRACEABILITY SYSTEMS ,,
DIVERSIFICATION ,Diversification of income for cocoa farming households ,
DIVERSIFICATION ,Regional agricultural programs in order to create alternatives to cocoa cultivation.,
DIVERSIFICATION ,Diversification of cultivation systems ,
DIVERSIFICATION ,Provision of planting material for other cocoa-compatible crops,
INCOME GENERATING ACTIVITIES  ,Income Generating Activities (excluding VSCLA and crop diversification) ,Numeracy 
INCOME GENERATING ACTIVITIES  ,Income Generating Activities (excluding VSCLA and crop diversification) ,Literacy 
INCOME GENERATING ACTIVITIES  ,Income Generating Activities (excluding VSCLA and crop diversification) ,"Accounting, marketing and sales "
INCOME GENERATING ACTIVITIES  ,Income Generating Activities (excluding VSCLA and crop diversification) ,Identifying the right product/ price/ volume
INCOME GENERATING ACTIVITIES  ,Income Generating Activities (excluding VSCLA and crop diversification) ,Technical skills in production 
INCOME GENERATING ACTIVITIES  ,Development of local markets,
INCOME GENERATING ACTIVITIES  ,Improving of the service market for cocoa cultivation ,
INCOME GENERATING ACTIVITIES  ,Better prices for cocoa ,Payment of minimum prices 
INCOME GENERATING ACTIVITIES  ,Better prices for cocoa ,Premium systems 
INCOME GENERATING ACTIVITIES  ,Better prices for cocoa ,Improvement of producer prices for cocoa 
INCOME GENERATING ACTIVITIES  ,Better prices for cocoa ,Payment of a living income 
INCOME GENERATING ACTIVITIES  ,Farmer Business Schools ,
INCOME GENERATING ACTIVITIES  ,Good Agricultural Practices ,
INCOME GENERATING ACTIVITIES  ,Access to Finance ,
INCOME GENERATING ACTIVITIES  ,Access to Inputs ,Provision of equipment for production 
INCOME GENERATING ACTIVITIES  ,Access to Inputs ,Distribution of plant material 
INCOME GENERATING ACTIVITIES  ,Business management plan - farmer-based organizations (FBO),
INCOME GENERATING ACTIVITIES  ,Infrastructure investments ,
CLIMATE CHANGE ,Cimate mitigation ,
CLIMATE CHANGE ,Climate adaption ,
CLIMATE CHANGE ,Climate Smart Cocoa -best practices,
CLIMATE CHANGE ,the status of protected areas and the role forest plays in climate regulation,
CLIMATE CHANGE ,REDD++ Activities ,
SUSTAINABLE FARMING ,Good Environmental Practices ,
SUSTAINABLE FARMING ,Biodiversity and natural resources ,Promotion of agroforestry 
SUSTAINABLE FARMING ,Biodiversity and natural resources ,Development of integrated agricultural programmes for sustainable regions
SUSTAINABLE FARMING ,Biodiversity and natural resources ,Promotion of the landscape approach
SUSTAINABLE FARMING ,Biodiversity and natural resources ,Promotion of the jurisdictional approach 
PROTECTING FORESTS  ,Conservation of forests ,
PROTECTING FORESTS  ,Reforestation of forest areas ,
PROTECTING FORESTS  ,Avoiding deforestation through the cultivation of cocoa ,
PROTECTING FORESTS  ,The status of protected areas and the role forest plays in climate regulation  ,
CHILD LABOUR AND HUMAN RIGHTS ,Prevention of worst forms of Child Labour ,Implementation of a Child Labour Monitoring (& Remediation) system
CHILD LABOUR AND HUMAN RIGHTS ,Prevention of worst forms of Child Labour ,Prevention of abusive and dangerous child labour / the worst forms of child labour
CHILD LABOUR AND HUMAN RIGHTS ,Prevention of worst forms of Child Labour ,Promotion of schooling of children
CHILD LABOUR AND HUMAN RIGHTS ,Prevention of Forced Labour ,
CHILD LABOUR AND HUMAN RIGHTS ,Human Rights ,"Compliance with human rights (implementation of the UN Guidelines on Business and Human Rights, OECD Guidelines) "
CHILD LABOUR AND HUMAN RIGHTS ,Human Rights ,Implementation of a grievance mechanisms
CHILD LABOUR AND HUMAN RIGHTS ,Promoting the participation of young people in the cocoa cultivation/cocoa sector,
CHILD LABOUR AND HUMAN RIGHTS ,Improving gender equality and opportunities for womenn ,
CHILD LABOUR AND HUMAN RIGHTS ,Promotion of local civil society ,
CHILD LABOUR AND HUMAN RIGHTS ,Strenghtening of cooperatives and farmer organisations,
EDUCATION AND HEALTH ,Balanced Nutrition ,
EDUCATION AND HEALTH ,Clean water ,
EDUCATION AND HEALTH ,Access to social Services ,
STRENGTHENING OF PRODUCER COUNTRIES ,"Promotion of the participation of the producer countries in national, regional and global (good) governance",
STRENGTHENING OF PRODUCER COUNTRIES ,supporting governments and other stakeholders in the development of holistic regional agricultural programs ,
INTERNATIONAL INITIATIVES ,"Promoting multi-stakeholder partnerships and collaboration for more sustainability,",
INTERNATIONAL INITIATIVES ,Participation in ICI ,
INTERNATIONAL INITIATIVES ,Participation in WCF ,
