Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Capacity building and empowerment of cooperatives and farmer organisations,Kapazitätsaufbau und Stärkung von Kooperativen und Bauernorganisationen
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Direct cocoa sourcing arrangements and sustainable cocoa sourcing partnerships,Vereinbarungen für eine direkte Beschaffung von Kakao und nachhaltige Partnerschaften zur Beschaffung von Kakao
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Cocoa certification requirements and practices,Anforderungen und Praktiken für die Kakao-Zertifizierung
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Cocoa Traceability,Rückverfolgbarkeit von Kakao
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Mapping of cocoa farms,Kartierung von Kakaobetrieben
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Professionalisation of cocoa cooperatives / farmer organisations,Professionalisierung von Kooperativen / Bauernorganisationen im Kakaosektor
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Business management plan for farmer-based organizations (FBO),Unternehmensführungsplan für bäuerliche Organisationen (FBO)
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Local multi-stakeholder (including multi-commodity) partnerships and governance / landscape arrangement in cocoa producing areas,Lokale Multi-Stakeholder-Partnerschaften (einschließlich Multi-Commodity-Partnerschaften) und Governance- / Landschaftsvereinbarungen in kakaoproduzierenden Gebieten
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Jurisdictional approach,Zuständigkeitsansatz
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,Capacity and performance of key actors in governance of cocoa value chains,Kapazität und Leistung der Hauptakteure bei der Steuerung der Kakao-Wertschöpfungsketten
Cocoa Value Chain Governance,<b><i>Governance</i></b> (Steuerung) der Kakao-Wertschöpfungskette,"Strategies and policies to foster sustainable cocoa value and supply chains at regional, national, and global levels","Strategien und Politikansätze zur Förderung einer nachhaltigen Wertschöpfungs- und Lieferkette für Kakao auf regionaler, nationaler und globaler Ebene"
Living Income for cocoa farming households,Existenzsicherndes Einkommen für kakaoanbauende Haushalte,Household income monitoring – Closing the living income gap,Monitoring des Haushaltseinkommens - Schließung der Lücke zum existenzsichernden Einkommen („living income“) 
Living Income for cocoa farming households,Existenzsicherndes Einkommen für kakaoanbauende Haushalte,Cocoa pricing - Cocoa market mechanisms,Kakaopreise - Kakaomarktmechanismen
Living Income for cocoa farming households,Existenzsicherndes Einkommen für kakaoanbauende Haushalte,Premiums paid to cocoa farmers and/or cooperatives,Prämien an Kakaobauern und / oder Genossenschaften
Agricultural practices and productivity,Landwirtschaftliche Praktiken und Produktivität,"Cocoa production (productivity, quality, professional services, …)","Kakaoproduktion (Produktivität, Qualität, professionelle Dienstleistungen,…)"
Agricultural practices and productivity,Landwirtschaftliche Praktiken und Produktivität,Cocoa agroforestry,Kakao-Agroforstsysteme
Agricultural practices and productivity,Landwirtschaftliche Praktiken und Produktivität,Agricultural diversification (Diversification towards other agricultural produce),Landwirtschaftliche Diversifizierung (Diversifizierung hin zu anderen landwirtschaftlichen Erzeugnissen)
Agricultural practices and productivity,Landwirtschaftliche Praktiken und Produktivität,Good Agricultural Practices,Gute landwirtschaftliche Praktiken
Child Labour and Human Rights,Kinderarbeit und Menschenrechte,Prevention and remediation of child labour,Prävention und Behebung von Kinderarbeit
Child Labour and Human Rights,Kinderarbeit und Menschenrechte,Human Rights in cocoa supply chains / cocoa producing communities,Menschenrechte in Kakao-Lieferketten / kakaoproduzierenden Gemeinden
Livelihoods of cocoa producing communities,Lebensgrundlagen kakaoproduzierender Gemeinden,Access to social services,Zugang zu sozialen Diensten
